4,0,Gautier,Lloris,3,18-JUL-95,1696172400000,0,384909,822847,2568949,2568949;
6,0,Etienne Ludovic,Youte,3,14-JAN-02,1696172400000,0,1335997,1335997,2568949,2568949;
7,0,Loic,Nego,3,15-JAN-91,1696178329720,0,363963,499290,2568949,2568949;
8,0,Yassine,Kechta,2,25-FEB-02,1696177500120,0,1284906,1284906,2568949,2568949;
10,0,Nabil,Alioui,1,18-FEB-99,1696172400000,1696176932400,602558,979246,2568949,2568949;
11,0,Emmanuel Afriyie Ma,Sabbi,1,24-DEC-97,1696177486320,0,975613,975613,2568949,2568949;
14,0,Daler,Kuzyaev,2,15-JAN-93,1696172400000,0,9609564,822900,2568949,2568949;
19,0,Rassoul,Ndiaye,2,11-DEC-01,1696172400000,1696177500000,1175928,1175928,2568949,2568949;
20,0,Andy Elysee,Logbo,1,06-MAY-04,1696176918120,0,1400474,1400474,2568949,2568949;
22,0,Yoann,Salmier,3,21-NOV-92,1696172400000,0,596035,923267,2568949,2568949;
23,0,Josue,Casimir,1,24-SEP-01,1696172400000,1696177486280,1251141,1251141,2568949,2568949;
27,0,Christopher,Operi,3,29-APR-97,1696172400000,0,9613572,960150,2568949,2568949;
29,0,Samuel,Grandsir,1,14-AUG-96,1696176932520,0,609767,914766,2568949,2568949;
45,0,Issa,Soumare,1,10-OCT-00,1696172400000,1696176918080,1196390,1196390,2568949,2568949;
94,0,Abdoulaye,Toure,2,03-MAR-94,1696172400000,1696178329680,393401,750232,2568949,2568949;
4,1,Alexsandro Victor,Alexsandro Ribeiro,3,09-AUG-99,1696172400000,0,1316967,1316967,2568949,2568949;
7,1,Hakon Arnar,Haraldsson,2,10-APR-03,1696177872920,0,1163022,1163022,2568949,2568949;
8,1,Adilson Angel,Gomes,2,31-AUG-00,1696172400000,1696178916160,605303,984754,2568949,2568949;
9,1,Jonathan Christian,David,1,14-JAN-00,1696172400000,0,999457,999457,2568949,2568949;
10,1,Remy Joseph,Cabella,2,08-MAR-90,1696172400000,1696177872880,364761,508852,2568949,2568949;
15,1,Leny,Yoro,3,13-NOV-05,1696172400000,0,1340905,1340905,2568949,2568949;
17,1,Ivan Ricardo,Ivan Cavaleiro,1,18-OCT-93,1696172400000,1696178429400,378585,705676,2568949,2568949;
18,1,Bafode,Diakite,3,06-JAN-01,1696172400000,0,1148620,1148620,2568949,2568949;
20,1,Juan Ignacio,Miramon,2,12-JUN-03,1696178916200,0,1256767,1256767,2568949,2568949;
21,1,Benjamin Michel Edo,Andre,2,03-AUG-90,1696172400000,0,362003,499553,2568949,2568949;
23,1,Edon,Zhegrova,2,31-MAR-99,1696172400000,1696178926680,1064233,1064233,2568949,2568949;
26,1,Alan,Virginius,1,03-JAN-03,1696178429520,0,1168821,1168821,2568949,2568949;
31,1,Ismaily,Ismaily,3,11-JAN-90,1696172400000,0,369855,587834,2568949,2568949;
34,1,Aaron,Malouda,1,30-NOV-05,1696178926720,0,1399020,1399020,2568949,2568949;
30,3,Arthur,Desmas,4,07-APR-94,1696172400000,0,596241,881326,2568949,2568949;
30,4,Lucas,Chevalier,4,06-NOV-01,1696172400000,0,1169356,1169356,2568949,2568949;
